Diameter,Material,Sample,Pressure,Dt1,Dt2,Dt3,Full dt,Gyro speed,Amplitude,Omega,Zeta
25,82,1,0,0.00891,0.01795,0.01782,0.04468,2313,-0.842638815,43.74672757,0.117732182
25,82,1,50,0.00891,0.01184,0.01197,0.03272,1749,-0.904921964,51.71291537,0.100093551
25,82,1,50,0.00879,0.01196,0.01184,0.03259,1329,-0.875799946,51.75026506,0.097464837
25,82,1,50,0.00879,0.01196,0.01196,0.03271,841,-0.894255809,52.35135092,0.096870881
25,82,1,75,0.00586,0.01184,0.00903,0.02673,973,-0.864212907,57.61644082,0.092578297
25,82,1,75,0.00891,0.00903,0.01184,0.02978,1012,-0.881628195,56.6738229,0.092241541
25,82,1,75,0.00586,0.01221,0.00879,0.02686,796,-0.905603844,56.06513012,0.093844701
25,82,1,100,0.00903,0.00879,0.00904,0.02686,1252,-0.87649168,60.9396165,0.08848047
25,82,1,100,0.00586,0.01196,0.00904,0.02686,1233,-0.868420476,61.01090399,0.086638804
25,82,1,100,0.00903,0.00903,0.00879,0.02685,1874,-0.848632924,61.82663242,0.085519894
25,82,1,125,0.00586,0.00903,0.00903,0.02392,1211,-0.790211863,68.23931084,0.07692323
25,82,1,125,0.00611,0.00854,0.00904,0.02369,1133,-0.768111152,68.74163893,0.072148409
25,82,1,125,0.00586,0.00879,0.00927,0.02392,2055,-0.773437333,68.19873051,0.073802118
25,82,1,150,0.00586,0.00879,0.00903,0.02368,1894,-0.726216359,71.3028792,0.061262516
25,82,1,150,0.00586,0.00879,0.00903,0.02368,910,-0.724925128,71.45187336,0.058984672
25,82,1,150,0.00586,0.00904,0.00903,0.02393,1195,-0.707536282,72.10670456,0.055763943
28,60,4,-50,0.01486,0.02381,0.02084,0.05951,1560,-1.094166492,22.27594837,0.158784028
28,60,4,-50,0.0149,0.0238,0.01785,0.05655,1193,-1.138366397,22.52790226,0.179726289
28,60,4,-50,0.01191,0.02676,0.01779,0.05646,671,-1.008401749,23.06636601,0.163307939
28,60,4,0,0.00885,0.01489,0.01184,0.03558,1200,-0.991703005,40.52040826,0.092916083
28,60,4,0,0.00891,0.01782,0.01184,0.03857,1111,-1.025202982,40.07477728,0.095302105
28,60,4,0,0.00891,0.01776,0.01477,0.04144,1083,-1.055912586,40.07848887,0.099740686
28,60,4,50,0.00598,0.01184,0.0119,0.02972,695,-0.929763472,54.36157443,0.084628128
28,60,4,50,0.00592,0.0119,0.0119,0.02972,717,-0.932573004,56.26245501,0.083893888
28,60,4,50,0.00598,0.01191,0.00891,0.0268,1101,-0.93369822,55.42508099,0.083543617
28,60,4,75,0.00586,0.01196,0.00891,0.02673,1133,-0.818081821,64.00232325,0.076605224
28,60,4,75,0.00586,0.01196,0.00891,0.02673,1285,-0.773836456,65.35085296,0.072152287
28,60,4,75,0.00586,0.01184,0.00904,0.02674,1220,-0.79526403,64.0535983,0.07122575
28,60,4,100,0.00586,0.01196,0.00598,0.0238,1007,-0.728842292,68.33541193,0.059319588
28,60,4,100,0.00586,0.01184,0.0061,0.0238,3086,-0.728688881,67.14856687,0.054664909
28,60,4,100,0.00891,0.00891,0.00891,0.02673,1237,-0.741890664,66.77526751,0.05471303
28,70,2,-50,0.00903,0.02685,0.02393,0.05981,1149,-0.867193685,28.840934,0.127779707
28,70,2,-50,0.01172,0.02661,0.02393,0.06226,950,-0.739439455,29.39306254,0.16642058
28,70,2,-50,0.00879,0.02661,0.021,0.0564,1098,-0.836511975,29.08973363,0.332306462
28,70,2,0,0.00904,0.02075,0.01172,0.04151,2046,-0.668600086,52.91025573,0.083122288
28,70,2,0,0.00586,0.01757,0.01221,0.03564,1605,-0.936629241,43.77834705,0.113993186
28,70,2,0,0.00586,0.01783,0.01489,0.03858,1277,-0.976490794,43.13004291,0.117233895
28,70,2,50,0.00586,0.01221,0.00879,0.02686,1587,-0.912889144,54.10259232,0.085658056
28,70,2,50,0.00586,0.01197,0.00878,0.02661,592,-0.924571681,55.06989331,0.087477538
28,70,2,50,0.00611,0.00879,0.01196,0.02686,1187,-0.9082275,54.68824085,0.084262936
28,70,2,75,0.00586,0.00904,0.00903,0.02393,1488,-0.8867391,60.84580863,0.079873603
28,70,2,75,0.00635,0.00879,0.00879,0.02393,971,-0.877627178,60.89589805,0.079403524
28,70,2,75,0.00634,0.00879,0.00879,0.02392,1677,-0.869014324,60.67813791,0.078047008
28,70,2,100,0.00298,0.01191,0.00595,0.02084,1014,-0.753751971,68.5964873,0.05890089
28,70,2,100,0.00297,0.00893,0.00893,0.02083,1365,-0.743218435,69.05992979,0.055652144
28,70,2,100,0.00595,0.00893,0.00595,0.02083,1122,-0.694387845,70.40263653,0.04667746
28,70,2,125,0.00299,0.00894,0.00891,0.02084,1617,-0.705690392,71.84562598,0.043078318
28,70,2,125,0.00611,0.00854,0.00903,0.02368,985,-0.725365525,70.46273638,0.046203922
28,70,2,125,0.00293,0.00897,0.00891,0.02081,2265,-0.716527277,71.23860736,0.044187879
28,82,2,-50,0.00893,0.01785,0.01779,0.04457,1761,-0.641914692,50.37972968,0.170832813
28,82,2,-50,0.00891,0.0149,0.01483,0.03864,1278,-1.392791241,80.05978627,0
28,82,2,-50,0.00895,0.01486,0.01486,0.03867,1456,-0.689821951,61.83168525,0.149554576
28,82,2,0,0.00897,0.0119,0.00885,0.02972,1310,-0.689433281,67.27320252,0.124281582
28,82,2,0,0.00897,0.0119,0.0119,0.03277,1671,-0.81837639,61.82383646,0.137533388
28,82,2,0,0.00891,0.01191,0.0119,0.03272,1322,-0.688935892,63.67526973,0.120979688
28,82,2,50,0.00598,0.00891,0.00891,0.0238,692,-0.735631302,74.66792933,0.132107062
28,82,2,50,0.00891,0.00592,0.00897,0.0238,745,-0.703901349,77.16439526,0.128940752
28,82,2,50,0.00598,0.00592,0.00891,0.02081,1019,-0.694110351,78.41908218,0.127709362
28,82,2,75,0.00598,0.00897,0.00891,0.02386,982,-0.692994403,80.71499227,0.125590515
28,82,2,75,0.00586,0.00598,0.00879,0.02063,1262,-0.668525502,81.9317728,0.122870582
28,82,2,75,0.00598,0.00586,0.00903,0.02087,1435,-0.696150827,80.35250632,0.123824722
28,82,2,100,0.00598,0.00586,0.00598,0.01782,823,-0.665162148,84.41707671,0.117592149
28,82,2,100,0.00599,0.00891,0.00586,0.02076,1160,-0.657731065,84.567543,0.118648735
28,82,2,100,0.00586,0.00598,0.00892,0.02076,1431,-0.669838924,83.23827449,0.121419313
28,82,2,125,0.00586,0.00903,0.00598,0.02087,857,-0.614416869,90.95054429,0.104210713
28,82,2,125,0.00586,0.00903,0.00598,0.02087,1584,-0.62197365,89.57526351,0.105010008
28,82,2,125,0.00586,0.0061,0.00879,0.02075,1008,-0.60604636,91.44627965,0.100468624
28,82,2,150,0.00586,0.0061,0.00586,0.01782,736,-0.596334488,93.79167529,0.097258169
28,82,2,150,0.00586,0.0061,0.00879,0.02075,1312,-0.557689837,98.59259932,0.092354087
28,82,2,150,0.00596,0.00592,0.00595,0.01783,1451,-0.471487652,108.1805429,0.043518082
